Unnamed: 0,POS_BAYES,NEG_BAYES
la,0.6366785875131951,0.36332141248680483
confidential,0.7594521600678396,0.24054783993216042
‘,0.662671098540372,0.33732890145962796
representation,0.5355532395293,0.4644467604707001
longgone,0.75,0.25
era,0.7336172930323436,0.26638270696765637
los,0.8603863945491325,0.13961360545086748
angeles,0.9629629629629629,0.037037037037037035
exemplary,0.9629629629629629,0.037037037037037035
1950s,0.6206342083163895,0.3793657916836105
enlivened,0.323835688029012,0.676164311970988
screen,0.6131949404137004,0.3868050595862995
accurate,0.43172541457690233,0.5682745854230977
opulent,0.875,0.125
manner,0.6666133616334601,0.33338663836654
flawless,0.9340409732809274,0.06595902671907261
ensemble,0.8398507930774618,0.16014920692253815
masterfully,0.9863013698630136,0.0136986301369863
written,0.4211803275257638,0.5788196724742363
story,0.6507429189707288,0.34925708102927117
vibrant,0.8814731419062286,0.11852685809377138
yet,0.6442822109039179,0.355717789096082
gritty,0.8671066838281493,0.13289331617185068
vision,0.6766841941115217,0.32331580588847836
everything,0.5640974894534948,0.4359025105465051
click,0.32916546425869214,0.6708345357413078
fittingly,0.9166666666666666,0.08333333333333333
cynical,0.4969610086550272,0.5030389913449729
undeniably,0.6567883696365953,0.3432116303634048
seductive,0.9743589743589743,0.02564102564102564
period,0.7607287313484584,0.23927126865154166
crime,0.3370287745180505,0.6629712254819495
thriller,0.40358148328076704,0.596418516719233
still,0.6175067842216289,0.3824932157783712
maintains,0.8653174184121512,0.13468258158784882
style,0.595752031674743,0.404247968325257
sizzle,0.9230769230769231,0.07692307692307693
best,0.8307581069221115,0.16924189307788862
richest,0.9444444444444444,0.05555555555555555
crimecop,0.6666666666666666,0.3333333333333333
drama,0.6599964807986297,0.34000351920137023
decade,0.6843656880759199,0.3156343119240801
instant,0.7510951239491859,0.24890487605081404
classic,0.8147645104984387,0.18523548950156138
one,0.5691733629748481,0.43082663702515195
cop,0.4592107579841961,0.5407892420158038
film,0.5868611768945133,0.41313882310548683
1950sset,0.75,0.25
’,0.6309483117521665,0.36905168824783346
also,0.700154122697644,0.29984587730235596
movie,0.4318630996534357,0.5681369003465644
cast,0.5208865461996441,0.47911345380035575
crew,0.6478937823824436,0.35210621761755645
ever,0.5991674534503023,0.4008325465496976
associated,0.3575925610489397,0.6424074389510602
25th,0.44031464306576934,0.5596853569342306
anniversary,0.7509807007212574,0.2490192992787426
darker,0.6960827780835279,0.3039172219164721
piping,0.6666666666666666,0.3333333333333333
hot,0.40142899433129703,0.5985710056687031
coffee,0.511946945263578,0.48805305473642197
hardboiled,0.7797469279221347,0.2202530720778652
picnic,0.8,0.2
egg,0.6903099371340977,0.30969006286590234
